x,y,x_std,y_std
2.70E-03,3.08E-03,2.71E-05,2.74E-05
3.51E-03,3.02E-03,4.69E-05,4.68E-05
1.12E-02,1.85E-03,5.70E-05,2.06E-05
1.77E-02,1.05E-03,7.04E-05,1.30E-05
2.37E-02,1.39E-04,2.84E-04,1.39E-04
1.88E-02,8.84E-04,5.87E-05,1.70E-05
2.12E-02,5.77E-04,6.85E-05,1.48E-05
2.53E-02,2.44E-06,1.29E-04,2.54E-05
1.81E-02,9.86E-04,4.83E-05,1.57E-05
1.95E-02,8.00E-04,5.55E-05,1.54E-05
1.78E-02,1.02E-03,6.92E-05,1.95E-05
1.27E-02,1.72E-03,4.13E-05,2.02E-05
1.22E-02,1.83E-03,3.93E-05,1.91E-05
1.11E-02,1.95E-03,2.83E-05,1.38E-05
1.18E-02,1.86E-03,2.11E-05,7.73E-06
1.34E-02,1.61E-03,1.58E-05,6.06E-06
